iter	Passed	Remaining
615	1072	668
616	1073	666
617	1075	664
618	1076	662
619	1078	660
620	1080	659
621	1082	657
622	1083	655
623	1085	653
624	1086	651
625	1088	650
626	1089	648
627	1090	646
628	1092	644
629	1093	642
630	1095	640
631	1096	638
632	1098	636
633	1099	634
634	1101	632
635	1102	630
636	1103	629
637	1105	627
638	1106	625
639	1108	623
640	1109	621
641	1111	619
642	1112	617
643	1114	615
644	1115	613
645	1116	612
646	1118	610
647	1120	608
648	1122	606
649	1124	605
650	1125	603
651	1127	601
652	1128	599
653	1130	597
654	1131	596
655	1133	594
656	1134	592
657	1135	590
658	1137	588
659	1139	586
660	1140	584
661	1141	582
662	1143	581
663	1144	579
664	1146	577
665	1147	575
666	1149	573
667	1151	572
668	1152	570
669	1153	568
670	1155	566
671	1156	564
672	1158	562
673	1159	560
674	1161	559
675	1162	557
676	1163	555
677	1165	553
678	1166	551
679	1168	549
680	1169	547
681	1171	546
682	1172	544
683	1174	542
684	1175	540
685	1177	538
686	1178	537
687	1180	535
688	1181	533
689	1183	531
690	1184	529
691	1186	527
692	1187	526
693	1189	524
694	1190	522
695	1191	520
696	1193	518
697	1194	516
698	1196	515
699	1198	513
700	1199	511
701	1200	509
702	1202	507
703	1203	506
704	1205	504
705	1206	502
706	1208	500
707	1209	498
708	1210	497
709	1212	495
710	1213	493
711	1215	491
712	1216	489
713	1217	487
714	1219	486
715	1220	484
716	1222	482
717	1223	480
718	1225	478
719	1226	477
720	1228	475
721	1229	473
722	1231	471
723	1232	469
724	1234	468
725	1235	466
726	1237	464
727	1239	463
728	1240	461
729	1242	459
730	1243	457
731	1245	455
732	1246	454
733	1247	452
734	1249	450
735	1250	448
736	1252	446
737	1253	445
738	1255	443
739	1256	441
740	1258	439
741	1259	437
742	1261	436
743	1262	434
744	1264	432
745	1265	430
746	1266	429
747	1268	427
748	1269	425
749	1271	423
750	1272	422
751	1274	420
752	1275	418
753	1277	416
754	1278	414
755	1280	413
756	1281	411
757	1283	409
758	1284	407
759	1285	406
760	1287	404
761	1288	402
762	1290	400
763	1291	398
764	1293	397
765	1294	395
766	1296	393
767	1297	391
768	1298	390
769	1300	388
770	1301	386
771	1303	384
772	1304	383
773	1306	381
774	1307	379
775	1309	377
776	1310	376
777	1312	374
778	1313	372
779	1315	370
780	1316	369
781	1317	367
782	1319	365
783	1320	363
784	1322	362
785	1323	360
786	1325	358
787	1326	357
788	1328	355
789	1329	353
790	1331	351
791	1332	350
792	1334	348
793	1335	346
794	1336	344
795	1338	343
796	1340	341
797	1341	339
798	1342	337
799	1344	336
800	1345	334
801	1347	332
802	1348	330
803	1349	329
804	1351	327
805	1352	325
806	1354	323
807	1355	322
808	1357	320
809	1358	318
810	1360	316
811	1361	315
812	1363	313
813	1364	311
814	1366	310
815	1367	308
816	1369	306
817	1370	304
818	1372	303
819	1373	301
820	1375	299
821	1376	298
822	1377	296
823	1379	294
824	1380	292
825	1382	291
826	1383	289
827	1385	287
828	1386	285
829	1387	284
830	1389	282
831	1390	280
832	1392	279
833	1393	277
834	1394	275
835	1396	273
836	1397	272
837	1399	270
838	1400	268
839	1402	267
840	1403	265
841	1404	263
842	1406	261
843	1407	260
844	1409	258
845	1410	256
846	1412	255
847	1413	253
848	1414	251
849	1416	249
850	1417	248
851	1419	246
852	1420	244
853	1421	243
854	1423	241
855	1424	239
856	1426	237
857	1427	236
858	1428	234
859	1430	232
860	1431	231
861	1433	229
862	1434	227
863	1436	226
864	1437	224
865	1438	222
866	1440	220
867	1441	219
868	1443	217
869	1444	215
870	1445	214
871	1447	212
872	1448	210
873	1450	209
874	1451	207
875	1452	205
876	1454	203
877	1455	202
878	1457	200
879	1458	198
880	1459	197
881	1461	195
882	1463	193
883	1464	192
884	1465	190
885	1467	188
886	1468	187
887	1470	185
888	1472	183
889	1473	182
890	1474	180
891	1476	178
892	1477	177
893	1478	175
894	1480	173
895	1481	171
896	1483	170
897	1484	168
898	1486	166
899	1487	165
900	1489	163
901	1491	162
902	1493	160
903	1495	158
904	1496	157
905	1498	155
906	1499	153
907	1501	152
908	1502	150
909	1504	148
910	1505	147
911	1507	145
912	1508	143
913	1509	142
914	1511	140
915	1512	138
916	1514	137
917	1515	135
918	1517	133
919	1518	132
920	1519	130
921	1521	128
922	1522	127
923	1524	125
924	1525	123
925	1527	122
926	1528	120
927	1530	118
928	1531	117
929	1533	115
930	1534	113
931	1535	112
932	1537	110
933	1538	108
934	1540	107
935	1541	105
936	1543	103
937	1544	102
938	1546	100
939	1547	98
940	1548	97
941	1550	95
942	1551	93
943	1553	92
944	1555	90
945	1556	88
946	1558	87
947	1559	85
948	1561	83
949	1562	82
950	1563	80
951	1565	78
952	1566	77
953	1568	75
954	1569	73
955	1571	72
956	1572	70
957	1574	69
958	1575	67
959	1577	65
960	1578	64
961	1580	62
962	1581	60
963	1583	59
964	1584	57
965	1586	55
966	1588	54
967	1589	52
968	1591	50
969	1592	49
970	1593	47
971	1595	45
972	1596	44
973	1598	42
974	1600	41
975	1602	39
976	1603	37
977	1605	36
978	1607	34
979	1608	32
980	1610	31
981	1612	29
982	1613	27
983	1615	26
984	1617	24
985	1619	22
986	1620	21
987	1622	19
988	1623	18
989	1625	16
990	1627	14
991	1628	13
992	1630	11
993	1631	9
994	1633	8
995	1633	6
996	1635	4
997	1636	3
998	1638	1
999	1639	0
